County,Leader,Total Votes,Est. Votes Counted
Adams,Lazar +2.9,"5,440",99%
Ashland,Taylor +26.3,"4,327",99%
Barron,Lazar +3.5,"9,918",99%
Bayfield,Taylor +37.6,"6,153",99%
Brown,Taylor +13.9,"62,535",99%
Buffalo,Lazar +2.6,"3,077",99%
Burnett,Lazar +4.3,"4,408",99%
Calumet,Lazar +3.4,"14,053",99%
Chippewa,Taylor +5.4,"14,541",99%
Clark,Lazar +12.6,"6,153",99%
Columbia,Taylor +18.5,"16,365",99%
Crawford,Taylor +20.8,"4,289",99%
Dane,Taylor +67.7,"198,555",99%
Dodge,Lazar +14,"22,019",99%
Door,Taylor +20.8,"11,727",99%
Douglas,Taylor +28.2,"10,027",99%
Dunn,Taylor +15.2,"10,370",99%
Eau Claire,Taylor +36,"27,810",99%
Florence,Lazar +22.2,"1,193",99%
Fond Du Lac,Lazar +7.1,"25,321",99%
Forest,Lazar +7.9,"2,574",99%
Grant,Taylor +19.5,"10,011",99%
Green,Taylor +24.1,"12,425",99%
Green Lake,Lazar +12.8,"4,676",99%
Iowa,Taylor +34,"7,424",99%
Iron,Taylor +3.6,"1,496",99%
Jackson,Taylor +6.3,"4,827",99%
Jefferson,Taylor +4,"22,633",99%
Juneau,Lazar +3.9,"5,705",99%
Kenosha,Taylor +17.2,"32,658",99%
Kewaunee,Lazar +14.4,"5,617",99%
La Crosse,Taylor +38.1,"29,156",99%
Lafayette,Taylor +10.4,"4,356",99%
Langlade,Lazar +14.9,"4,944",99%
Lincoln,Lazar +2.9,"6,968",99%
Manitowoc,Lazar +0.1,"18,374",99%
Marathon,Taylor +2.1,"32,672",99%
Marinette,Lazar +11.3,"10,042",99%
Marquette,Lazar +8.8,"4,649",99%
Menominee,Taylor +43.8,673,99%
Milwaukee,Taylor +51.6,"193,276",99%
Monroe,Taylor +0.1,"8,933",99%
Oconto,Lazar +16.3,"10,614",99%
Oneida,Taylor +8.7,"10,471",99%
Outagamie,Taylor +16,"45,954",99%
Ozaukee,Taylor +4.3,"31,684",99%
Pepin,Lazar +3.5,"1,816",99%
Pierce,Taylor +13.8,"10,519",99%
Polk,Lazar +1.8,"10,579",99%
Portage,Taylor +29.6,"19,427",99%
Price,Lazar +5.4,"3,720",99%
Racine,Taylor +6.2,"43,619",99%
Richland,Taylor +18.8,"4,137",99%
Rock,Taylor +33.6,"34,849",99%
Rusk,Lazar +14,"3,363",99%
Sauk,Taylor +22.1,"19,066",99%
Sawyer,Taylor +6.2,"4,795",99%
Shawano,Lazar +14.6,"8,556",99%
Sheboygan,Taylor +0.1,"28,723",99%
St. Croix,Taylor +8.6,"22,530",99%
Taylor,Lazar +22.9,"4,589",99%
Trempealeau,Taylor +11.1,"6,621",99%
Vernon,Taylor +20.6,"7,442",99%
Vilas,Taylor +0.1,"6,596",99%
Walworth,Lazar +0.1,"26,413",99%
Washburn,Taylor +0.1,"4,850",99%
Washington,Lazar +23.7,"40,625",99%
Waukesha,Lazar +8,"134,139",99%
Waupaca,Lazar +6.9,"13,228",99%
Waushara,Lazar +13.9,"6,310",99%
Winnebago,Taylor +19.3,"39,535",99%
Wood,Taylor +3.6,"19,304",99%
