County,State,Lat,Lng,Margin_2016,Margin_2018,Margin_2019,Margin_2020,Margin_2023,Margin_2025
Adams,Wisconsin,43.969158,-89.7702945,-8.9,-0.53,-11.36,-6.28,-12.78,-17.91
Ashland,Wisconsin,46.6977612,-90.5660411,25.43,33.87,21.25,23.12,26.31,15.75
Barron,Wisconsin,45.4235928,-91.8483108,-7.74,-6.13,-20.46,-9.09,-18.52,-20.74
Bayfield,Wisconsin,46.634306,-91.181334,24.6,29.74,24.08,25.27,28.06,21
Brown,Wisconsin,44.474142,-87.9928859,-15.86,10.25,-5.87,4.29,3.3,3.19
Buffalo,Wisconsin,44.3795925,-91.754272,-11.13,-5.86,-11.09,-2.62,-10.09,-16.56
Burnett,Wisconsin,45.8626496,-92.3680305,-9.08,-15.91,-27.19,-17.3,-22.04,-25.13
Calumet,Wisconsin,44.0815066,-88.2180222,-27.05,-2.15,-22.81,-6.41,-12.41,-11.55
Chippewa,Wisconsin,45.0693342,-91.2799367,-8.33,2.07,-13.92,-1.56,-7.18,-9.59
Clark,Wisconsin,44.7343499,-90.6119927,-21.52,-12.85,-28.36,-19.53,-26.42,-27.01
Columbia,Wisconsin,43.4665873,-89.3336849,4.16,12.38,7.88,14.2,10.12,8.86
Crawford,Wisconsin,43.2393335,-90.9311673,6.24,16.75,10.02,15.46,8.14,2.49
Dane,Wisconsin,43.0672853,-89.4181331,44.52,62.01,58.21,62.86,63.92,63.44
Dodge,Wisconsin,43.4161706,-88.7075198,-24.42,-14.08,-31.61,-16.02,-24.91,-24.83
Door,Wisconsin,45.0323369,-87.030097,-4.94,24.31,7.76,17.56,13.53,12.26
Douglas,Wisconsin,46.4637185,-91.8996556,9.53,25.09,13.46,19.55,22.56,18.27
Dunn,Wisconsin,44.9462773,-91.8963779,-0.6,9.57,-2.76,3.9,3.46,-0.24
Eau Claire,Wisconsin,44.7268722,-91.2859827,10.75,27.75,16.71,26.11,27.98,25.67
Florence,Wisconsin,45.8484662,-88.3980534,-19.84,-25.79,-34.77,-27.02,-39.95,-45.1
Fond Du Lac,Wisconsin,43.7536414,-88.4881929,-25.38,-13.5,-27.86,-15.65,-20.14,-20.79
Forest,Wisconsin,45.6668904,-88.7700185,-21.14,-9.23,-25.68,-17.09,-21.27,-28.7
Grant,Wisconsin,42.8672046,-90.706154,-0.9,9.13,1.55,13.4,2.82,-0.42
Green,Wisconsin,42.679925,-89.6022145,13.41,24.48,18.2,23.34,18.63,16.75
Green Lake,Wisconsin,43.8002524,-89.0449027,-31.97,-17.8,-36.64,-19.7,-26.51,-28.49
Iowa,Wisconsin,43.000419,-90.1353695,15.01,32.61,27.59,34.06,27.4,23.61
Iron,Wisconsin,46.3164361,-90.2636657,-6.62,-1.91,-7.1,-4.96,-6.04,-14.49
Jackson,Wisconsin,44.319191,-90.8049791,2.2,11.72,-1.81,6.42,0.51,-2.56
Jefferson,Wisconsin,43.0207286,-88.7758661,-14.44,-4.39,-15.56,-1.56,-5.67,-6.09
Juneau,Wisconsin,43.9241147,-90.1136423,-10.61,-9.31,-17.02,-6.77,-14.09,-18.34
Kenosha,Wisconsin,42.5790283,-87.6531347,-5.18,13.17,-3.13,13.72,7.97,5.47
Kewaunee,Wisconsin,44.5061411,-87.3073167,-25.23,-1.43,-25.83,-13.01,-23.86,-25.3
